,zipcode,FIPS,gentrification_score
331,30093,13,0.6888707100105687
332,27616,37,1.0217401496025529
333,76549,48,0.864753784982413
334,38017,47,2.7535309662117204
335,70301,22,-0.23377884839536184
336,78254,48,1.617320122698653
337,33442,12,1.1366216846187431
338,28403,37,0.31448820279916245
339,32216,12,0.4594025290558786
340,27215,37,-0.49130463315395717
341,32837,12,0.6663264786678204
342,75023,48,
343,24502,51,0.8893471880701187
344,27612,37,1.0558700398893588
345,28110,37,-0.14234098278787483
346,21229,24,0.4345133816019141
347,33415,12,0.8302286486775331
348,27107,37,0.6947310544502918
349,75219,48,
350,75227,48,
351,21044,24,1.019005349408495
352,22554,51,1.0522241560439718
353,27604,37,0.6592507104575163
354,33142,12,-0.010232591849181934
355,32164,12,2.8811702976685716
356,30721,13,0.7334772812617354
357,75231,48,
358,32725,12,0.03891369932021754
359,78233,48,0.42646452083545117
360,33033,12,-0.04107654728028694
361,28806,37,0.49803986148659407
362,29607,45,1.3419401253339625
363,37221,47,1.1426106862290797
364,27526,37,0.9662321961690659
365,30064,13,1.7432054598583273
366,40324,21,1.7126573333469877
367,34112,12,1.0178755586112065
368,32514,12,0.4316538086608139
369,74055,40,0.9843385104527175
370,70115,22,2.5884852094180726
371,27513,37,0.7225879107013016
372,30605,13,0.425049568688038
373,34741,12,0.8846357892903322
374,20171,51,0.5009984075575462
375,33578,12,1.0545989114710854
376,29651,45,1.2077616968224607
377,21221,24,0.2456295655827782
378,40216,21,0.44417150233741437
379,29615,45,1.671853868840176
380,37087,47,0.544617022363471
381,33178,12,1.093425529026842
382,23602,51,0.13103629826106927
383,33180,12,-0.20560200622677272
384,29073,45,1.2192233334302416
385,28262,37,0.8642862552011936
386,33919,12,0.2805172654667388
387,37343,47,-0.20883177735969616
388,75024,48,
389,39402,28,1.2205060776723147
390,33126,12,0.20720998494592877
391,32835,12,0.3143827765105918
392,38115,47,0.635373813349342
393,42240,21,0.2978319804010418
394,24018,51,-2.7274474101546358
395,79907,48,8.952311078503278
396,29687,45,0.41531418348798127
397,33068,12,-0.08171455490989307
398,78640,48,0.634939793026507
399,29910,45,1.0518616672351806
400,21401,24,1.798775777361175
401,32746,12,1.2670841738368817
402,71111,22,-9.833786964084716
403,40517,21,0.27596448286103453
404,75063,48,
405,37620,47,1.6902363009745558
406,28173,37,2.3191717112314407
407,21502,24,-10.238004987531196
408,77396,48,1.0605475092672474
409,32703,12,0.14231899862064396
410,21043,24,1.1321744295041702
411,33904,12,1.228537499708943
412,75216,48,
413,32708,12,-0.4425892886166021
414,32808,12,-0.40264009602133444
415,76017,48,
416,20902,24,1.9058550093873383
417,70508,22,1.714750470125176
418,37076,47,0.8291533333576582
419,28117,37,1.0123941767086095
420,29210,45,0.8713405238828966
421,23234,51,0.21620981887144866
422,30518,13,1.2343189198427622
423,30076,13,0.7572616414420901
424,40509,21,1.8000368690023854
425,70810,22,1.8160877901700758
426,28306,37,-0.017232890201867433
427,33161,12,0.3648649893651063
428,30809,13,3.4351161489950126
429,33165,12,0.6298160283171321
430,28412,37,0.39807801753794847
431,34744,12,0.5115233573611543
432,33435,12,1.1122827340060484
433,29803,45,0.4824966255387243
434,38109,47,-0.463356698506866
435,33179,12,-0.1226449223066208
436,32224,12,2.432336651120847
437,23669,51,1.4705536688766194
438,37601,47,1.7864057855737439
439,73034,40,1.4234965196495704
440,37115,47,0.4202941020860166
441,32940,12,-1.255275673536363
442,23220,51,2.040001447787443
443,32159,12,1.18935694041783
444,28226,37,2.949492723614701
445,34203,12,0.671283415196273
446,37604,47,-0.08712898229162301
447,77539,48,1.480088785286581
448,32257,12,0.08118013634558882
449,77099,48,0.4592292505705564
450,20854,24,1.749240425040465
451,75248,48,
452,20772,24,0.6352682223957632
453,38128,47,-0.7462106632295737
454,78253,48,2.4245779991509164
455,32780,12,1.2263709191489567
456,29621,45,0.8069406536963489
457,33175,12,0.258153674366498
458,21921,24,0.0992668578354569
459,30097,13,0.2620380218799198
460,30350,13,1.8734230145705724
461,27103,37,2.9439837418178434
462,38501,47,0.7102555139227226
463,27609,37,0.9395096172357147
464,20176,51,1.4848361071060405
465,30324,13,1.0385346127871249
466,34667,12,1.5000909258361954
467,29150,45,-0.3242789258481594
468,70003,22,0.14264911261343735
469,75071,48,
470,33134,12,2.697018851677168
471,76039,48,
472,34209,12,0.6619987994409074
473,28311,37,-0.3589364844903991
474,37209,47,1.1136896443518451
475,22903,51,2.749500324248824
476,32073,12,0.7946807723109439
477,30157,13,0.2802806922059626
